beta,infect_shape,infect_scale,mean_infect,reproduction
0.670683449,2.923985024,2.209795529,6.461409033,4.333560093
0.675801818,2.509319075,2.54006217,6.373826456,4.307443507
0.673300909,2.951074288,1.923946852,5.677710085,3.822807363
0.673425244,2.806270091,2.197783899,6.167575222,4.153400849
0.669861031,2.919920636,2.149635946,6.276766361,4.204561183
0.67210859,2.402807273,2.545022035,6.115197456,4.110076737
0.669862647,2.517358007,2.396584556,6.033061322,4.041322428
0.67303593,2.666648836,2.210143935,5.893677753,3.96665689
0.672684879,3.046240116,1.914402937,5.831731026,3.922917281
0.671705632,2.457220117,2.434617746,5.982391703,4.018406201
0.673155384,2.388146786,2.454412531,5.861497397,3.945698532
0.674368721,2.76420278,2.155704722,5.958804985,4.018431695
0.673428142,2.348532229,2.443368594,5.738329891,3.864352839
0.674123037,2.278135338,2.731726376,6.223242392,4.195231058
0.674429497,2.76345574,2.227503367,6.155606965,4.151522911
0.674058751,2.933454046,1.964374187,5.762401408,3.884197097
0.671061953,2.569480555,2.312223228,5.941212623,3.986921746
0.672990985,2.307538214,2.503332102,5.776534487,3.887555636
0.668276366,2.53041894,2.363416524,5.980433936,3.996582659
0.672795192,2.529307449,2.42660647,6.13763382,4.129370523
0.672181176,2.155637861,2.670560361,5.756761025,3.869586398
0.674271293,2.54843171,2.339751599,5.962697167,4.020475528
0.673108369,2.320945132,2.513259759,5.833138004,3.926334008
0.669188134,2.715073178,2.161003767,5.867283367,3.926316407
0.672959398,1.981825038,2.865298655,5.678520615,3.821413816
0.67156931,2.392926422,2.458350851,5.882652706,3.950609019
0.668927612,2.888081898,2.039452312,5.890105304,3.940054073
0.675580141,2.203113234,2.807182116,6.184540069,4.178152454
0.67375522,2.395526527,2.616890565,6.268830766,4.223657449
0.668714269,2.823673485,2.08206171,5.879062445,3.931412948
0.67797768,3.058615215,1.959622415,5.993730933,4.063615793
0.673028795,2.585061801,2.393893365,6.188362294,4.164946019
0.67285567,2.513535285,2.16820912,5.44987013,3.666976017
0.67334314,3.081680361,2.166991489,6.677975113,4.496568734
0.676379777,2.133088911,2.815118822,6.004898743,4.06159207
0.674809821,2.724283602,2.114973067,5.761786444,3.888110076
0.669218906,2.876027015,2.141378031,6.158661066,4.121492421
0.672422534,2.705916986,2.177470129,5.892053408,3.961949485
0.671605906,2.770980945,2.20277852,6.103857305,4.099386616
0.671566287,2.589662308,2.444250864,6.329784332,4.250869759
0.674127001,2.163143675,2.650759844,5.73397439,3.865426957
0.673752033,2.414963247,2.389902533,5.771526781,3.888577902
0.671729637,2.554208505,2.341067952,5.979575675,4.016658195
0.672782483,2.473127916,2.327666497,5.756616993,3.872951074
0.674382821,2.897497306,2.181929539,6.322134961,4.26353921
0.674737222,2.302000159,2.738769892,6.304648729,4.253981169
0.672955705,2.531244087,2.47851961,6.273738107,4.22194785
0.675763155,3.277601408,1.907474096,6.251939784,4.224830556
0.675056997,2.897165143,2.211164305,6.406108151,4.32448813
0.673667937,2.219375736,2.678093548,5.943695839,4.004077317
0.671969506,2.253228537,2.553622624,5.753895369,3.866442226
0.670743002,2.417091556,2.440358239,5.898569293,3.956424077
0.671138993,2.750829651,2.184429426,6.008993236,4.032869669
0.672479769,2.656883559,2.281557112,6.06183158,4.076459101
0.675316325,2.4697165,2.554437081,6.308735409,4.260392011
0.669453971,2.353488267,2.393129377,5.632201909,3.770499936
0.672491142,2.433303669,2.462189333,5.991254338,4.029065473
0.668347488,2.495012922,2.448106246,6.108056719,4.082304364
0.678687123,2.007830623,3.098957243,6.222181253,4.222914292
0.674845964,2.218717202,2.629000795,5.833009288,3.936382773
0.673434173,2.555481376,2.40916866,6.156585642,4.146055157
0.672904259,2.758781956,2.354981994,6.496881831,4.371779453
0.67322062,2.854035878,2.07089419,5.910406319,3.979007406
0.672280516,2.586665689,2.33799529,6.047612197,4.065691851
0.668286564,2.530971446,2.406180637,6.089974485,4.069848121
0.674081688,2.428929011,2.442227663,5.931997622,3.998650967
0.674892149,2.239254896,2.609850267,5.844119988,3.944150697
0.669236795,2.79011229,2.233080677,6.230545842,4.16971053
0.675069625,2.43486982,2.580442591,6.283041789,4.241490664
0.674878615,2.107838074,2.737817708,5.770876406,3.894641074
0.671517791,2.322782103,2.755396936,6.400186688,4.297839225
0.670840338,2.256667566,2.552185989,5.759435343,3.863661551
0.677775047,2.110758703,2.895002752,6.110652256,4.14164762
0.674244941,2.269008715,2.666935756,6.051300473,4.080058729
0.670565449,2.838524937,2.141511345,6.078733354,4.076188558
0.676274331,2.402056118,2.457749939,5.903653276,3.99248917
0.672811094,2.35274819,2.570100349,6.046798944,4.068353414
0.67218873,2.753247775,2.209951559,6.084544212,4.089962044
0.675693576,3.12147424,1.959698301,6.117147766,4.133317447
0.675963477,2.892468909,2.258506715,6.532660453,4.415839873
0.669171462,2.763106246,2.211771236,6.111358919,4.089546983
0.669339204,2.594374245,2.562033475,6.646873663,4.449013127
0.673309745,2.239547729,2.755753327,6.171641106,4.155426099
0.671624368,2.607250978,2.288516974,5.966738119,4.007406719
0.673695652,2.384874133,2.318430242,5.529164313,3.724973955
0.672915962,2.620681958,2.321290997,6.083365435,4.093593705
0.674331977,2.615946145,2.261201233,5.915180648,3.98879546
0.671270854,2.71143308,2.194917658,5.951372348,3.994982799
0.671783536,2.544974335,2.330040505,5.929893285,3.983604678
0.67283053,2.738994677,2.128210354,5.829156832,3.922034681
0.67183693,3.172779528,2.065459923,6.553248959,4.402714665
0.673208887,2.439841982,2.378656683,5.803546434,3.906999038
0.678073479,2.264697541,2.536993362,5.745522628,3.895886515
0.667973632,3.152201565,1.975370774,6.226766847,4.159316066
0.672833683,2.461156311,2.437691985,5.999541011,4.036693277
0.673686594,2.501326561,2.547796151,6.372870183,4.293317208
0.672542211,2.424209686,2.245528359,5.443631598,3.661072029
0.672007584,2.846137694,2.204244633,6.273583736,4.215895848
0.677010894,2.339816759,2.548750507,5.963609149,4.037428359
0.672787393,2.418220284,2.286270158,5.52870487,3.719642938